,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
項目,,数値,単位・備考,,,,,,,,,,,,,,,,,,
▼SNSフォロワー数,,,,,,,,,,,,,,,,,,,,,
,Instagramフォロワー数,"21,000",人,,,,,,,,,,,,,,,,,,
,YouTubeフォロワー数,"5,650",人,,,,,,,,,,,,,,,,,,
▼コンバージョン率（CVR）,,,,,,,,,,,,,,,,,,,,,
,Instagramからの問い合わせ率 (CVR),0.50%,フォロワーのうち問い合わせに至る割合,,,,,,,,,,,,,,,,,,
,YouTubeからの問い合わせ率 (CVR),0.10%,※YouTubeは一般的にCVRが低めのため初期値を調整,,,,,,,,,,,,,,,,,,
▼顧客セグメント,,,,,,,,,,,,,,,,,,,,,
,一般向けの割合,90%,問い合わせ客のうちの割合,,,,,,,,,,,,,,,,,,
,選手向けの割合,10%,※「1 - 一般向けの割合」で自動計算,,,,,,,,,,,,,,,,,,
▼成約・単価,,,,,,,,,,,,,,,,,,,,,
,問い合わせからの成約率,40%,体験やカウンセリングを経て入会する割合,,,,,,,,,,,,,,,,,,
,一般向けの平均顧客単価,"198,000",円,,,,,,,,,,,,,,,,,,
,選手向けの平均顧客単価,"212,500",円,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
項目,,数値,単位,計算式（参考）,,,,,,,,,,,,,,,,,
▼問い合わせ数,,,,,,,,,,,,,,,,,,,,,
,Instagramからの問い合わせ,105,件/月,`=Instagramフォロワー数 * Instagramからの問い合わせ率,,,,,,,,,,,,,,,,,
,YouTubeからの問い合わせ,11,件/月,`=YouTubeフォロワー数 * YouTubeからの問い合わせ率,,,,,,,,,,,,,,,,,
,合計問い合わせ数,116,件/月,`=Instagramからの問い合わせ + YouTubeからの問い合わせ,,,,,,,,,,,,,,,,,
▼成約数,,,,,,,,,,,,,,,,,,,,,
,一般向け成約数,42,人/月,`=合計問い合わせ数 * 一般向けの割合 * 問い合わせからの成約率,,,,,,,,,,,,,,,,,
,選手向け成約数,5,人/月,`=合計問い合わせ数 * 選手向けの割合 * 問い合わせからの成約率,,,,,,,,,,,,,,,,,
,合計成約数,47,人/月,`=一般向け成約数 + 選手向け成約数,,,,,,,,,,,,,,,,,
▼予測売上,,,,,,,,,,,,,,,,,,,,,
,一般向け売上,"8,262,000",円/月,`=一般向け成約数 * 一般向けの平均顧客単価,,,,,,,,,,,,,,,,,
,選手向け売上,"977,500",円/月,`=選手向け成約数 * 選手向けの平均顧客単価,,,,,,,,,,,,,,,,,
,予測合計売上,"9,239,500",円/月,`=一般向け売上 + 選手向け売上,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,10/1,2025/11/01,2025/12/01,2026/01/01,2026/02/01,2026/03/01,2026/04/01,2026/05/01,2026/06/01,2026/07/01,2026/08/01,2026/09/01,2026/10/01,2026/11/01,2026/12/01,2027/01/01,2027/02/01,2027/03/01,2027/04/01,2027/05/01
▼フォロワー数,,,,,,,,,,,,,,,,,,,,,
,Instagram,,,,,,,,,,,,,,,,,,,,
,YouTube,"5,650","8,150","11,150","15,000","18,900","22,750","26,650","29,250","31,800","34,400","36,950","39,550","42,100","44,700","47,250","49,850","52,400","55,000","57,550","60,000"
,合計,,,,,,,,,,,,,,,,,,,,
▼問い合わせ数,,,,,,,,,,,,,,,,,,,,,
,Instagramからの問い合わせ,,,,,,,,,,,,,,,,,,,,
,YouTubeからの問い合わせ,6,8,11,15,19,23,27,29,32,34,37,40,42,45,47,50,52,55,58,60
,合計問い合わせ数,6,8,11,15,19,23,27,29,32,34,37,40,42,45,47,50,52,55,58,60
▼成約数,,,,,,,,,,,,,,,,,,,,,
,一般向け成約数,2,3,4,5,7,8,10,11,11,12,13,14,15,16,17,18,19,20,21,22
,選手向け成約数,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
,合計成約数,2,3,4,6,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24
▼コンサル費用,,,,,,,,,,,,,,,,,,,,,
,月額,"300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000"
,成果報酬,"45,076","65,021","88,955","119,670","150,784","181,500","212,614","233,357","253,700","274,443","294,787","315,530","335,874","356,617","376,961","397,703","418,047","438,790","459,134","478,680"
,費用合計,"445,076","465,021","488,955","519,670","550,784","581,500","612,614","633,357","653,700","674,443","694,787","715,530","735,874","756,617","776,961","797,703","818,047","838,790","859,134","878,680"
▼予測売上,,,,,,,,,,,,,,,,,,,,,
,一般向け売上(円),"402,732","580,932","794,772","1,069,200","1,347,192","1,621,620","1,899,612","2,084,940","2,266,704","2,452,032","2,633,796","2,819,124","3,000,888","3,186,216","3,367,980","3,553,308","3,735,072","3,920,400","4,102,164","4,276,800"
,選手向け売上(円),"48,025","69,275","94,775","127,500","160,650","193,375","226,525","248,625","270,300","292,400","314,075","336,175","357,850","379,950","401,625","423,725","445,400","467,500","489,175","510,000"
,予測合計売上(円),"450,757","650,207","889,547","1,196,700","1,507,842","1,814,995","2,126,137","2,333,565","2,537,004","2,744,432","2,947,871","3,155,299","3,358,738","3,566,166","3,769,605","3,977,033","4,180,472","4,387,900","4,591,339","4,786,800"
▼利益,,,,,,,,,,,,,,,,,,,,,
,利益合計,"50,757","250,207","489,547","796,700","1,107,842","1,414,995","1,726,137","1,933,565","2,137,004","2,344,432","2,547,871","2,755,299","2,958,738","3,166,166","3,369,605","3,577,033","3,780,472","3,987,900","4,191,339","4,386,800"
