名前,サブアイテム,ステータス,担当者,日付,次のタスクにより保留中：,次のタスクを保留中：,親アイテム
全体設計,"既存システム仕様書作成 (https://www.notion.so/2a9163ffb491801ab5ceff4879ceab3d?pvs=21), 画面遷移図 (https://www.notion.so/2a9163ffb49180fbb180ee1ae861ad94?pvs=21), DXLINE設計 (https://www.notion.so/DXLINE-2a9163ffb491805abccbd3588820d410?pvs=21), データモデル作成(〜エントリー (https://www.notion.so/2a9163ffb4918081a8b6ffb5af1a9c90?pvs=21), データモデル作成(購入〜 (https://www.notion.so/2be163ffb49180da9319f378a2a39869?pvs=21), 全体アーキテクチャ (https://www.notion.so/2a9163ffb49180889618f5ccb56c954d?pvs=21), インフラ設計 (https://www.notion.so/2a9163ffb49180aaa9c5d454e7ff9079?pvs=21), 認証認可設計 (https://www.notion.so/2a9163ffb49180379128daeddbe75982?pvs=21), 運用設計 (https://www.notion.so/2aa163ffb4918023b6a6ed2f02886161?pvs=21)",完了,,2025年10月27日 → 2025年12月12日,,,
SFF HP制作,"要件定義 (https://www.notion.so/2aa163ffb49180109889de546d77cb9c?pvs=21), コンセプト定義 (https://www.notion.so/2aa163ffb491805b9257f88b2dd43d0c?pvs=21), リファレンス (https://www.notion.so/2aa163ffb491801dac41d199072705e2?pvs=21), トンマナ作成 (https://www.notion.so/2aa163ffb4918017b7bed837e17f2189?pvs=21), WF作成 (https://www.notion.so/WF-2aa163ffb491803d9265f990be515972?pvs=21), SPデザイン (https://www.notion.so/SP-2aa163ffb491801dbd84c0441dd3a19c?pvs=21), PCデザイン (https://www.notion.so/PC-2aa163ffb491802aba74e3ae4da44bc3?pvs=21), コーディング (https://www.notion.so/2aa163ffb49180909a98eeb1f239018a?pvs=21), 募集用の動画作例アップ (https://www.notion.so/2cb163ffb4918018893bcdc7a89a886e?pvs=21), GA導入 (https://www.notion.so/GA-2aa163ffb49180139b32fcfb03ac65ea?pvs=21), SF連携 (https://www.notion.so/SF-2aa163ffb49180ff9bdef5b1dad86190?pvs=21), テスト (https://www.notion.so/2aa163ffb49180228b73d6448d024119?pvs=21), リリース関連 (https://www.notion.so/2aa163ffb4918005b3f4c379c4a9fae6?pvs=21)",完了,"平澤陽生, 天池紫音",2025年10月27日 → 2026年2月1日,,,
テスト,"テスト設計 (https://www.notion.so/2aa163ffb49180129371f06066039eb6?pvs=21), テスト実施 (https://www.notion.so/2aa163ffb49180a091adeb76da67a91d?pvs=21), 改修 (https://www.notion.so/2aa163ffb49180eaa1c0df45f446b00b?pvs=21)",未着手,髙宮城征真,2026年1月16日 → 2026年2月20日,,リリース関連 (https://www.notion.so/2a9163ffb491807099ccdae64658019b?pvs=21),
リリース関連,,未着手,,2026年2月23日 → 2026年2月25日,テスト (https://www.notion.so/2a9163ffb4918013afe8e5d33fa37a92?pvs=21),,
既存システム仕様書作成,,完了,MiuraAsahi,2025年10月27日 → 2025年11月19日,,,全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
画面遷移図,,進行中,"平澤陽生, 神保彩",2025年11月13日 → 2025年12月12日,,,全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
DXLINE設計,,完了,髙宮城征真,2025年11月17日 → 2025年11月19日,,データモデル作成(〜エントリー (https://www.notion.so/2a9163ffb4918081a8b6ffb5af1a9c90?pvs=21),全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
データモデル作成(〜エントリー,,完了,"髙宮城征真, MiuraAsahi",2025年11月20日 → 2025年12月2日,DXLINE設計 (https://www.notion.so/DXLINE-2a9163ffb491805abccbd3588820d410?pvs=21),,全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
全体アーキテクチャ,,未着手,"髙宮城征真, 平澤陽生",2025年11月24日 → 2025年11月26日,,インフラ設計 (https://www.notion.so/2a9163ffb49180aaa9c5d454e7ff9079?pvs=21),全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
インフラ設計,,未着手,MiuraAsahi,2025年11月27日 → 2025年11月28日,全体アーキテクチャ (https://www.notion.so/2a9163ffb49180889618f5ccb56c954d?pvs=21),認証認可設計 (https://www.notion.so/2a9163ffb49180379128daeddbe75982?pvs=21),全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
認証認可設計,,完了,MiuraAsahi,2025年12月1日 → 2025年12月2日,インフラ設計 (https://www.notion.so/2a9163ffb49180aaa9c5d454e7ff9079?pvs=21),,全体設計 (https://www.notion.so/2a9163ffb491807088b9e3305b7203b0?pvs=21)
応募,動画アップロード機能 (https://www.notion.so/2ca163ffb4918047a163e6e3493fe916?pvs=21),完了,,2025年12月15日 → 2026年1月23日,,,
抽選,"運用設計 (https://www.notion.so/2aa163ffb4918096b4cef45398986631?pvs=21), 実装 (https://www.notion.so/2aa163ffb49180f787eeca351c88b0b0?pvs=21), 断面テスト (https://www.notion.so/2aa163ffb4918056bf05f3a9491f834f?pvs=21)",未着手,,2026年1月5日 → 2026年1月9日,,,
ログイン・アカウント作成,"FE画面実装 (https://www.notion.so/FE-2a9163ffb49180969c15ee49f535f063?pvs=21), インフラ実装 (https://www.notion.so/2aa163ffb49180909931eb2e7c615d3b?pvs=21), BFF実装 (https://www.notion.so/BFF-2a9163ffb49180c48c94f9a845e097c5?pvs=21)",進行中,,2025年12月13日 → 2026年2月10日,,,
出場費支払い,,未着手,,2026年3月1日 → 2026年3月31日,データモデル作成(購入〜 (https://www.notion.so/2be163ffb49180da9319f378a2a39869?pvs=21),,
FE画面実装,,未着手,平澤陽生,2025年12月13日 → 2025年12月14日,,,ログイン・アカウント作成 (https://www.notion.so/2a9163ffb4918057ac67cd014b930d50?pvs=21)
BFF実装,,未着手,MiuraAsahi,2025年12月13日 → 2025年12月14日,,,ログイン・アカウント作成 (https://www.notion.so/2a9163ffb4918057ac67cd014b930d50?pvs=21)
要件定義,,完了,,2025年10月27日 → 2025年11月12日,,,SFF HP制作 (https://www.notion.so/SFF-HP-2a9163ffb49180e6a3b7eba402c88757?pvs=21)
コンセプト定義,,完了,,2025年10月27日 → 2025年11月12日,,,SFF HP制作 (https://www.notion.so/SFF-HP-2a9163ffb49180e6a3b7eba402c88757?pvs=21)
リファレンス,,完了,,2025年10月27日 → 2025年11月12日,,,SFF HP制作 (https://www.notion.so/SFF-HP-2a9163ffb49180e6a3b7eba402c88757?pvs=21)
