種別,タスク,人日(FN稼働分),担当者,領域,選択
要件定義,SFF マイページ,2,フレアネスト,SFF,
要件定義,SFF HP,2,フレアネスト,SFF,初回請求
要件定義,SFG LINEマーケ,2,フレアネスト,SFG,
要件定義,Salesforce全体要件定義,4,フレアネスト,全体,
設計,全体アーキテクチャ,3,フレアネスト,全体,
設計,SFF HP,6,フレアネスト,SFF,初回請求
設計,Salesforce オブジェクト,5,"フレアネスト, 外部ベンダー",全体,
設計,SFF マイページ,8,フレアネスト,SFF,
設計,認証認可基盤,2,フレアネスト,全体,
設計,インフラ,2,フレアネスト,全体,
設計,Salesforce API 技術調査,2,フレアネスト,SFF,
設計,BFF,10,フレアネスト,全体,
設計,DX LINE (SalesforceLINEマーケ),3,フレアネスト,SFG,
実装,SFF HP 7割デザイン,0,外部ベンダー,SFF,初回請求
実装,SFF HP 3割デザイン,6,フレアネスト,SFF,初回請求
実装,SFF HP 実装,13,フレアネスト,SFF,２回目請求
実装,SFF HP x Salesforce連携,10,フレアネスト,SFF,２回目請求
実装,Salesforce オブジェクト,0,外部ベンダー,全体,
実装,SFF マイページ,20,フレアネスト,SFF,"3回目請求, 4回目請求"
実装,認証認可基盤,7,フレアネスト,全体,3回目請求
実装,インフラ,4.5,フレアネスト,全体,3回目請求
実装,Salesforce API設定,4,フレアネスト,SFF,
実装,BFF,20,フレアネスト,SFF,"3回目請求, 4回目請求"
実装,DX LINE (SalesforceLINEマーケ),10,フレアネスト,SFG,
リリース,SFF HP,1,フレアネスト,SFF,２回目請求
リリース,SFF HP x Salesforce連携,1,フレアネスト,SFF,２回目請求
リリース,SFF マイページ,2,フレアネスト,SFF,3回目請求
リリース,Salesforce,1,フレアネスト,全体,
リリース,DX LINE (SalesforceLINEマーケ),0.5,フレアネスト,SFG,
テスト,SFF マイページ,4,フレアネスト,SFF,3回目請求
テスト,SFF Salesforce,1,フレアネスト,SFF,
テスト,SFF HP,1,フレアネスト,SFF,２回目請求
テスト,SFF HP x Salesforce連携,1,フレアネスト,SFF,２回目請求
テスト,SFG LINEマーケ,1,フレアネスト,SFG,
テスト,全体受け入れテスト,2,"Shape Fit, フレアネスト",全体,
