タスク,人日（FN稼働分）,人日（外部ベンダー稼働分）,担当者,種別,領域
コンテンツ販売,2,,フレアネスト,設計,SFF
コンテンツ販売,1,1,"フレアネスト, 外部ベンダー",テスト,SFF
管理アプリ リリース,,,"フレアネスト, 外部ベンダー",リリース,SFF
BS・SPチケット BE実装,,3,外部ベンダー,実装,SFF
観客チケット,2,,フレアネスト,設計,SFF
Salesforce オブジェクト改修,1,,フレアネスト,実装,SFF
観客チケット FE実装,5,,フレアネスト,実装,SFF
管理アプリ BE実装,,8,外部ベンダー,実装,SFF
管理アプリ,1.5,1.5,"フレアネスト, 外部ベンダー",テスト,SFF
管理アプリ（入場、点呼、審査）,3,,フレアネスト,設計,SFF
コンテンツ販売 リリース,,,"フレアネスト, 外部ベンダー",リリース,SFF
コンテンツ販売 BE実装,,6,外部ベンダー,実装,SFF
観客チケット リリース,1,,"フレアネスト, 外部ベンダー",リリース,SFF
BS・SPチケット FE実装,2,,フレアネスト,実装,SFF
インフラ,,2,外部ベンダー,実装,SFF
管理アプリ（入場、点呼、審査）,2,,フレアネスト,要件定義,SFF
観客チケット,1,1,"フレアネスト, 外部ベンダー",テスト,SFF
全体アーキテクチャ修正,2,,フレアネスト,設計,SFF
コンテンツ販売,1,,フレアネスト,要件定義,SFF
管理アプリ FE実装,5,,フレアネスト,実装,SFF
全体受け入れテスト,2,,フレアネスト,テスト,SFF
観客チケット,2,,フレアネスト,要件定義,SFF
コンテンツ販売 FE実装,4,,フレアネスト,実装,SFF
BS・SPチケット,1,,フレアネスト,設計,SFF
BS・SPチケット,1,,フレアネスト,要件定義,SFF
観客チケット BE実装,,6,外部ベンダー,実装,SFF
Salesforce リリース,1,,フレアネスト,リリース,SFF
"BS・SPチケット ",1,1,"フレアネスト, 外部ベンダー",テスト,SFF
BS・SPチケット リリース,,,"フレアネスト, 外部ベンダー",リリース,SFF
