種別,No,マイルストーン（成果）,Owner,完了定義,前提条件ID,依存No,いつから,いつまで,どのくらい（日）,残りの日数,担当者,補足
共通,C1,去年の発注記録を集める,おしりちゃん（事務局）,2025年の見積・発注・納品関連の記録（ファイル/メール/請求書等）を一覧化し、共有ドライブに集約。『揃った/未回収』が分かる状態で関係者に共有済み。,C-01,,2026/01/05,2026/01/16,11,,,共有ドライブ『2025制作管理』に見積・発注控えあり。1/5のMTGでデータの所在を確認し、即着手。
共通,C2,工程と日数を出す,おしりちゃん（事務局）,カテゴリ別（パンフ/バッジ/メダル）の工程一覧と標準日数・バッファを算出し、今年の各締切の根拠として説明できる資料（1枚でも可）を作成・共有済み。,,C1,2026/01/17,2026/01/23,6,,,"工程ごとに日数を出し、今年の期限の根拠にする（バッファも決める）
実績データを反映させた現実的な工数算出。"
共通,C3,今年お願いする会社を整理する,おしりちゃん（事務局）,今年依頼する会社候補（カテゴリ別）を整理し、各社の窓口/連絡手段/見積要否を一覧化。関係者に共有済み。,,C1,2026/01/19,2026/01/23,4,,,金:ジョイタス(SFFメール)、銀銅:アリババ(菜菜子アカ)、パンフ:IDA。窓口の一本化。
共通,C4,会社を確定する,おしりちゃん（事務局）,依頼先（各カテゴリ）が確定し、見積条件・納期・発注条件の合意が取れている（最低限：見積依頼完了〜回答取得、もしくは発注内示まで）。,,"C2,C3",2026/01/24,2026/01/30,6,,,"未決の場合は候補→見積→決定まで終える
見積が必要な場合はこの期間に実施。"
共通,C5,今年のスケジュールを最終FIX,おしりちゃん（事務局）,大会開催日/会場搬入想定から逆算した全体スケジュール（パンフ/バッジ/メダル）を最終FIXし、主要関係者（制作/事務局/決裁者）に合意・共有済み。,C-02,"C4,C2",2026/01/31,2026/02/06,6,,,"7/22納品完了に間に合うように、各工程の期限を調整して確定
ここで全カテゴリ（パンフ・バッジ・メダル）の期日を再確定。"
パンフ,P1,体制・締切が確定,おしりちゃん（窓口）（しおんさん）,制作体制（窓口/制作/レビュー/最終承認）と外部締切・社内締切を1枚にまとめ、関係者へ共有・合意済み。,,C5,2026/02/28,2026/03/06,6,,,
パンフ,P2,IDA担当範囲・成果物定義FIX（3月末の意味を確定）,おしりちゃん（窓口）（しおんさん）,IDAの担当範囲・成果物（初稿/修正回数/納品形式）と『3月末までに何をFIXするか』が文書で合意済み（メールでも可）。,,P1,2026/03/07,2026/03/13,6,,,3月末は入稿PDF+調整用AI受領。4月に社内でロゴ微調整あり。
パンフ,P3,仕様が確定,おしりちゃん（窓口）（しおんさん）,パンフ仕様（ページ数/サイズ/紙/部数/納品先/検品方法/2種の差分方針）が確定し、制作会社が作業開始できる状態。,,P2,2026/03/14,2026/03/20,6,,,
パンフ,P4a,掲載項目（共通版）FIX,おしりちゃん（窓口）（しおんさん）,パンフ掲載項目（共通版）が確定し、『このリストにないものは載せない』合意が取れている。,P-01,P3,2026/03/21,2026/03/27,6,,,
パンフ,P4b,差分項目（関東/関西）FIX,おしりちゃん（窓口）（しおんさん）,関東/関西の差分掲載項目が確定し、差分反映ルール（どこが違うか）が一覧で分かる状態。,P-01,P4a,2026/03/28,2026/04/03,6,,,
パンフ,P5,協賛ロゴ運用FIX（締切・責任者・置き場）,神保さん（協賛窓口）/おしりちゃん（運用）,協賛ロゴの締切（社内/企業）・責任者・格納場所・差し替え手順が確定し、運用ルールとして共有済み。,P-02,"P1,C5",2026/04/04,2026/04/10,6,,,"企業様締切：4月20日まで
責任者：神保さん
置き場：各企業様ごとのグーグルドライブ"
パンフ,P6,原稿と素材の回収が完了,おしりちゃん（窓口）,必要な原稿・画像・協賛ロゴ等が所定フォルダに揃い、不足/差し戻しがない状態（不足一覧がゼロ、もしくは例外承認済み）。,,"P4b,P5",2026/04/11,2026/05/22,41,,,ボトルネック注意：協賛ロゴ（最新版）とタイムテーブルが遅れがち。
パンフ,P7,初稿完成（2種類：関東/関西）,IDA（制作）/しおんさん（窓口）,関東/関西の初稿（PDF等）が完成し、レビュー（校正）を開始できる状態で共有済み。,,P6,2026/05/23,2026/06/05,13,,,IDA提示10日＋バッファ5日＝15日設定。関東/関西の2種類。
パンフ,P8,校正完了,IDA（制作）/しおんさん（窓口）,校正指摘の回収と反映が完了し、未解決指摘がゼロ（または例外承認済み）。,,P7,2026/06/06,2026/06/19,13,,,
パンフ,P9,校了（最終OK）完了,IDA（制作）/しおんさん（窓口）,最終承認者のOK（校了）が取得できている（証跡：メール/チャット/承認コメント）。,,P8,2026/06/20,2026/06/26,6,,,
パンフ,P10,入稿完了,IDA（制作）/しおんさん（窓口）,入稿データ一式（最終PDF/入稿仕様/必要素材）を制作会社へ提出し、受領確認を取得済み。,,P9,2026/06/27,2026/06/30,3,,,
パンフ,P11,納品・検品完了,おしりちゃん（窓口）,納品物が到着し、検品（数量/印刷ズレ/破損）完了。問題があれば交換/再納品手配まで完了。,,P10,2026/07/01,2026/07/22,21,,,納品・検品の締切。遅延時は特急プランorページ削減で対応。
パンフ,P12,会場搬入・配布準備完了,おしりちゃん（窓口）,会場搬入計画・配布計画が確定し、仕分け/搬入物リスト/当日導線が用意されている。,,P11,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
バッジ,B1,体制・締切が確定,おしりちゃん（窓口）,バッジ制作の体制（窓口/制作/レビュー/最終承認）と締切（選手確定前の固定項目含む）が共有・合意済み。,,C5,2026/04/04,2026/04/10,6,,,番号変更のみココナラで依頼
バッジ,B2a,デザイン・仕様（番号以外）FIX,おしりちゃん（窓口）,デザインと仕様（サイズ/材質/印刷方式等）※番号以外が確定し、変更が発生しない合意が取れている。,B-01,B1,2026/04/11,2026/04/24,13,,,
バッジ,B2b,数量・番号ルールFIX（選手確定前の設計）,おしりちゃん（窓口）,数量見込みと番号付与ルール（欠席・追加時の扱い含む）が確定し、5/1の選手確定に合わせて反映できる設計ができている。,B-01,B2a,2026/04/25,2026/04/30,5,,,当日欠席者のバッジ混入を防ぐため、データ確定時に削除工程を入れる。
バッジ,B3,選手確定（入力データ確定）,おしりちゃん（窓口）,選手リスト（氏名/所属/部門など必要項目）が確定し、入力データとして編集不要の状態で準備済み。,,B2b,2026/05/01,2026/05/01,0,,,選手確定日（5/1）を前提
バッジ,B4,最終数量・番号反映FIX,おしりちゃん（窓口）,確定データを反映し、最終数量・番号がFIX。制作へ渡すデータ（CSV等）が完成している。,,B3,2026/05/02,2026/05/08,6,,,
バッジ,B5,デザイン初稿が完成,おしりちゃん（窓口）,デザイン初稿（実データ反映版）が完成し、レビュー開始できる状態で共有済み。,,B4,2026/05/09,2026/05/22,13,,,
バッジ,B6,校了（最終OK）完了,おしりちゃん（窓口）,校了（最終OK）取得済み（証跡あり）。,,B5,2026/05/23,2026/06/05,13,,,
バッジ,B7,発注完了,おしりちゃん（窓口）,発注書/発注メール送付完了し、制作側の受領・納期確約を取得済み。,,B6,2026/06/06,2026/06/10,4,,,
バッジ,B8,納品・検品完了,おしりちゃん（窓口）,納品物が到着し、検品（数量/印刷/破損/番号）完了。問題時は交換/再納品手配まで完了。,,B7,2026/06/11,2026/07/22,41,,,納品・検品の締切
バッジ,B9,会場搬入・配布準備完了,おしりちゃん（窓口）,会場搬入・配布準備（仕分け/保管/当日配布導線）完了。,,B8,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
メダル,M1,体制・締切が確定,おしりちゃん（窓口）,メダル制作の体制（窓口/制作/レビュー/最終承認）と締切（デザイン方針含む）が共有・合意済み。,,C5,2026/04/04,2026/04/10,6,,,
メダル,M2,在庫棚卸し完了（2025在庫の実数確定）,おしりちゃん（窓口）,2025在庫の棚卸しが完了し、種類別の実数が確定。台帳に反映済み。,,M1,2026/04/11,2026/04/17,6,,,2025在庫の棚卸しが先。基準：表面傷NG、リボンほつれは予備へ。
メダル,M3,表彰設計が確定,おしりちゃん（窓口）,表彰設計（部門/順位/必要メダル種別）が確定し、数量算出の前提が揃っている。,,M2,2026/04/18,2026/04/24,6,,,
メダル,M4,デザイン方針決定（2025踏襲 or 変更）,おしりちゃん（窓口）,デザイン方針（2025踏襲 or 変更）が決定し、変更の場合は必要工程（型/サンプル等）の有無まで確定。,"M-02,M-03",M3,2026/04/25,2026/05/01,6,,,判断軸：アンケート結果と大会テーマ刷新有無。
メダル,M5,Want To Be 数量算出ルールFIX,おしりちゃん（窓口）,Want To Be の数量算出ルール（計算式/丸め/予備の考え方）が確定し、誰が計算しても同じ結果になる状態。,,M4,2026/05/02,2026/05/08,6,,,
メダル,M6,種類・数量が確定,おしりちゃん（窓口）,種類別の最終数量が確定し、制作会社へ見積・発注条件として提示できる状態。,M-01,"M5,M3",2026/05/09,2026/05/15,6,,,6カテゴリーの必要数を反映（目安:1大会24個＋予備）
メダル,M7,仕様が確定,おしりちゃん（窓口）,仕様（サイズ/材質/刻印/リボン等）が確定し、制作に入れる状態。,,M6,2026/05/16,2026/05/22,6,,,
メダル,M8,サンプル確認（必要な場合）,おしりちゃん（窓口）,サンプルが必要な場合、サンプル受領→確認→修正指示まで完了（不要の場合は『不要』決定済み）。,,M7,2026/05/23,2026/05/29,6,,,
メダル,M9,校了（最終OK）完了,おしりちゃん（窓口）,校了（最終OK）取得済み（証跡あり）。,,M8,2026/05/30,2026/06/05,6,,,
メダル,M10,発注完了,おしりちゃん（窓口）,発注書/発注メール送付完了し、制作側の受領・納期確約を取得済み。,,M9,2026/06/06,2026/06/10,4,,,
メダル,M11,納品・検品完了,おしりちゃん（窓口）,納品物が到着し、検品（数量/刻印/破損）完了。問題時は交換/再納品手配まで完了。,,M10,2026/06/11,2026/07/22,41,,,納品・検品の締切
メダル,M12,会場搬入・表彰準備完了,おしりちゃん（窓口）,会場搬入・表彰準備（仕分け/保管/授与導線/当日必要物チェック）完了。,,M11,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
