種別,No,マイルストーン（成果）,いつから,いつまで,どのくらい（日）,残りの日数,担当者,補足
共通,C1,去年の発注記録を集める,2026/01/05,2026/01/16,11,,,"メール/スプレッドシート/ドライブから、見積→初稿→校了→発注→納品の日付を拾う
1/5のMTGでデータの所在を確認し、即着手。"
共通,C2,工程と日数を出す,2026/01/17,2026/01/23,6,,,"工程ごとに日数を出し、今年の期限の根拠にする（バッファも決める）
実績データを反映させた現実的な工数算出。"
共通,C3,今年お願いする会社を整理する,2026/01/19,2026/01/23,4,,,"既に決まっている先と、未決の部分を一覧にする（窓口も1人にする）
窓口の一本化。"
共通,C4,会社を確定する,2026/01/24,2026/01/30,6,,,"未決の場合は候補→見積→決定まで終える
見積が必要な場合はこの期間に実施。"
共通,C5,今年のスケジュールを最終FIX,2026/01/31,2026/02/06,6,,,"7/22納品完了に間に合うように、各工程の期限を調整して確定
ここで全カテゴリ（パンフ・バッジ・メダル）の期日を再確定。"
パンフ,P1,体制・締切が確定,2026/02/28,2026/03/06,6,,,
パンフ,P2,IDA担当範囲・成果物定義FIX（3月末の意味を確定）,2026/03/07,2026/03/13,6,,,IDAさんの3月末納期の「中身」を確定
パンフ,P3,仕様が確定,2026/03/14,2026/03/20,6,,,
パンフ,P4a,掲載項目（共通版）FIX,2026/03/21,2026/03/27,6,,,
パンフ,P4b,差分項目（関東/関西）FIX,2026/03/28,2026/04/03,6,,,
パンフ,P5,協賛ロゴ運用FIX（締切・責任者・置き場）,2026/04/04,2026/04/10,6,,,"企業様締切：4月20日まで
責任者：神保さん
置き場：各企業様ごとのグーグルドライブ"
パンフ,P6,原稿と素材の回収が完了,2026/04/11,2026/05/22,41,,,
パンフ,P7,初稿完成（2種類：関東/関西）,2026/05/23,2026/06/05,13,,,関東/関西の2種類
パンフ,P8,校正完了,2026/06/06,2026/06/19,13,,,
パンフ,P9,校了（最終OK）完了,2026/06/20,2026/06/26,6,,,
パンフ,P10,入稿完了,2026/06/27,2026/06/30,3,,,
パンフ,P11,納品・検品完了,2026/07/01,2026/07/22,21,,,納品・検品の締切
パンフ,P12,会場搬入・配布準備完了,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
バッジ,B1,体制・締切が確定,2026/04/04,2026/04/10,6,,,
バッジ,B2a,デザイン・仕様（番号以外）FIX,2026/04/11,2026/04/24,13,,,
バッジ,B2b,数量・番号ルールFIX（選手確定前の設計）,2026/04/25,2026/04/30,5,,,
バッジ,B3,選手確定（入力データ確定）,2026/05/01,2026/05/01,0,,,選手確定日（5/1）を前提
バッジ,B4,最終数量・番号反映FIX,2026/05/02,2026/05/08,6,,,
バッジ,B5,デザイン初稿が完成,2026/05/09,2026/05/22,13,,,
バッジ,B6,校了（最終OK）完了,2026/05/23,2026/06/05,13,,,
バッジ,B7,発注完了,2026/06/06,2026/06/10,4,,,
バッジ,B8,納品・検品完了,2026/06/11,2026/07/22,41,,,納品・検品の締切
バッジ,B9,会場搬入・配布準備完了,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
メダル,M1,体制・締切が確定,2026/04/04,2026/04/10,6,,,
メダル,M2,在庫棚卸し完了（2025在庫の実数確定）,2026/04/11,2026/04/17,6,,,2025在庫の棚卸しが先
メダル,M3,表彰設計が確定,2026/04/18,2026/04/24,6,,,
メダル,M4,デザイン方針決定（2025踏襲 or 変更）,2026/04/25,2026/05/01,6,,,
メダル,M5,Want To Be 数量算出ルールFIX,2026/05/02,2026/05/08,6,,,
メダル,M6,種類・数量が確定,2026/05/09,2026/05/15,6,,,6カテゴリーの必要数を反映（目安:1大会24個＋予備）
メダル,M7,仕様が確定,2026/05/16,2026/05/22,6,,,
メダル,M8,サンプル確認（必要な場合）,2026/05/23,2026/05/29,6,,,
メダル,M9,校了（最終OK）完了,2026/05/30,2026/06/05,6,,,
メダル,M10,発注完了,2026/06/06,2026/06/10,4,,,
メダル,M11,納品・検品完了,2026/06/11,2026/07/22,41,,,納品・検品の締切
メダル,M12,会場搬入・表彰準備完了,2026/07/23,2026/08/01,9,,,大会日未確定のため仮日付
