行動指針,09.称賛・GoodActionログDB,カテゴリ,概要,種別
社会の文脈へ翻訳する,,🔭 未来起点,社内の言葉だけで語らず、社会や顧客にとってどういう意味があるかを言語化して伝える。,推奨(Good)
自分の物語を引き出す,,❤️ 顧客志向,顧客への提案を押し付けるのではなく、顧客自身がどうなりたいか（物語）を傾聴し、自己理解を促す。,推奨(Good)
温度を伝える,,🌡️ 熱量・感情,チャットなどのテキストコミュニケーションでも、冷淡にならず、スタンプや言葉選びで熱量を乗せる。,推奨(Good)
再現性をつくる,,⚙️ 仕組み化,自分だけの成果にせず、マニュアル化・テンプレート化して誰でもできる状態にする。,推奨(Good)
即レス（1時間以内）,,💎 誠実,クライアントやチームからの連絡には素早く反応する。返答に時間がかかる場合も「確認します」と一次返信をする。,推奨(Good)
10%共有（早期相談）,,🤝 チームワーク,完成度10%の段階で方向性のすり合わせを行う。手戻りを防ぎ、チームの知恵を借りる。,推奨(Good)
感情と数値を接続する,,🌡️ 熱量・感情,数字の報告だけで終わらせず、その裏にある顧客や現場の感情（ストーリー）をセットで語る。,推奨(Good)
Why→What変換,,⚙️ 仕組み化,「なぜやるか（理念）」を理解した上で、具体的な「何をするか（構造・タスク）」に落とし込む。,推奨(Good)
凡事徹底,,💎 誠実,挨拶、掃除、靴を揃えるなど、当たり前の基準を下げずにやり切る。,推奨(Good)
文化発火点になる,,🔥 挑戦,自らが熱源となり、挨拶や姿勢で周囲の温度を上げる行動をとる。,推奨(Good)
技術と理念の共創,,⚙️ 仕組み化,新しいツールや技術を導入する際、それが理念（Vision）の実現にどう寄与するかを定義して実装する。,推奨(Good)
現場での共感・熱狂,,🔥 挑戦,理屈だけでなく、現場でのコミュニケーションを通じて周囲を巻き込み、熱狂の渦を作る。,推奨(Good)
情報の抱え込み,,🤝 チームワーク,バッドニュースやノウハウを個人で留め、チームに共有しないこと。,禁止(Bad)
評論家スタンス,,🔥 挑戦,リスクや課題を指摘するだけで、自ら代替案を出したり行動したりしない姿勢。,禁止(Bad)
,,,,
,,,,
