ドキュメント名,タグ（大）,タグ（小）,ステータス,URL,最終更新日,作成者
00_基本資料,00_基本資料,,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/15Je3_m7MVJJWRdeUnD_GXNflIdbmygBU,,神成
00_提出用スプシ原本,00_基本資料,提出用原本,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1fryC5Egace9T8h0cFDY0XQA9riB3pUYB,,神成
〇〇企業様提出用フォルダ,00_基本資料,提出用原本,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1t09KKUrSJyZ0wCyAmYp-n6M-jF551n5i,,神成
〇〇株式会社,00_基本資料,提出用原本,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1Wv2OIxh7PlZONHRHB2K6g-_D_KxVDl4Z,,神成
【SFF2026】協賛リターン_オリエンシート_〇〇企業様.xlsx,04_協賛,"協賛リターン, オリエンシート",未着手,https://docs.google.com/spreadsheets/d/1f0zbedjpKY0AaGd97HIby89kAEdVCHEm5xVyJyLLPug/edit?usp=drivesdk,,神成
04_協賛,04_協賛,物語りノート,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1amPA7tk_dDtcVJ19fDbEyQbZDA74z3jC,,神成
2026_協賛一覧,04_協賛,別枠地域枠,未着手,https://docs.google.com/spreadsheets/d/1TiEd8DEqodrrjV9GVAmXHsfiikGM_c5_2uUbTsaElQI/edit?usp=drivesdk,,神成
2026_協賛募集詳細資料,04_協賛,別枠地域枠,未着手,https://docs.google.com/document/d/1_PZa6T_vLYjqG2sVE-klOmDIUrQKVkp-gOWA4okL_ec/edit?usp=drivesdk,,神成
2026_協賛資料構成案,04_協賛,別枠地域枠,未着手,https://docs.google.com/document/d/1hIr7keDztIZMpqUufWXBPl9QA_wif0uVNM8Lk0Fq1FQ/edit?usp=drivesdk,,神成
【SFF2026】協賛リターン_オリエンシート_原本,04_協賛,"協賛リターン, オリエンシート, 原本",未着手,https://docs.google.com/spreadsheets/d/1muh6fYtjGXAHPjitIo9nv8A8gbL_FzcyZSObAxJa86g/edit?usp=drivesdk,,神成
【SFF2026】協賛リターン_オリエンシート_合同会社PowerLife様.xlsx,04_協賛,"協賛リターン, オリエンシート",未着手,https://docs.google.com/spreadsheets/d/1DERZbPuSxn9GTbR8V4NmhuvLRl4FkghjLjiBoedmM8s/edit?usp=drivesdk,,神成
【SFF2026】協賛リターン_過程イベント企画書_〇〇様.xlsx,04_協賛,"協賛リターン, 過程イベント企画書",未着手,https://docs.google.com/spreadsheets/d/1u4jwZqKgeG5bx2n3JKCyrJUXRR4gUCvPm_na5p5aQyo/edit?usp=drivesdk,,神成
【SFF2026】協賛リターン_過程イベント企画書_合同会社PowerLife様.xlsx,04_協賛,"協賛リターン, 過程イベント企画書",未着手,https://docs.google.com/spreadsheets/d/1gBJh_MWX_AVvL4NG569P8A4_CQlvrgEtifKXPEBAauE/edit?usp=drivesdk,,神成
【合同会社PowerLife様】協賛契約書.docx,04_協賛,協賛契約書,未着手,https://docs.google.com/document/d/1dxsljZUSSc9GVuZc9G0Ri019PXQzMby7/edit?usp=drivesdk&ouid=101007590592271005687&rtpof=true&sd=true,,神成
【株式会社〇〇様】協賛契約書.docx,04_協賛,"協賛リターン, 過程イベント企画書",未着手,https://docs.google.com/document/d/1dvbIqZiw7P02dqlRTSWYBauqCo-ASbsr/edit?usp=drivesdk&ouid=101007590592271005687&rtpof=true&sd=true,,神成
07_Shaper関連,04_協賛,別枠地域枠,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1kuthaXxLjGFQNAocsnBXoMwwoS4k1JxM,,神成
251130 Shaper会,04_協賛,出欠フォーム,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1RWnDFYsWRn8lHopABOSSKsn3_ANMIyNJ,,神成
08_SNS,04_協賛,別枠地域枠,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/12c10X_BNF8R_bXUWqZtxYlZsZ3f47yxM,,神成
01_TOP,04_協賛,TOP,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1-S7Kb6lDmxCgYc27Y9bhXZhh3EoSECY3,,神成
01_ブース,04_協賛,ブース,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1ks_wIs4lsB_-LKF6sSKRiuD-SyZADGk7,,神成
02_DIAMOND,04_協賛,DIAMOND,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1NEXMmyLD0nUVPtCmasZb1yVDMpEIP5gk,,神成
03_PLUTINUM,04_協賛,PLUTINUM,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1xYdXEJI_POCZipM517u7iiJejEzEM-3v,,神成
03_物語りノート,04_協賛,物語りノート,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1NbiVqBJNStUOAUn_a7TuamXj0LdLh9Kz,,神成
04_別枠地域枠,04_協賛,別枠地域枠,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://drive.google.com/drive/folders/1eLSvJ4xN1PRhJpDCpX-8-ak5kwGI5B59,,神成
2026年 SFF説明会お申し込みフォーム,04_協賛,出欠フォーム,未着手,https://www.google.com/url?sa=E&source=gmail&q=https://docs.google.com/forms/d/1jvFFgWckzLpEX3_LNqyOZ8jJVIHG8Prrv12YlVrhHUk/edit?usp=drivesdk,,神成
【アジェンダ】Belisse様×Shape Fit,04_協賛,"協賛リターン, 過程イベント企画書",未着手,https://docs.google.com/document/d/1CN8QBRdZb6pXiwa67D4Jd6rtmQDJee2ga94JyjLTCgs/edit?usp=drivesdk,,神成
