,,,,,,
ドキュメント名,タグ（大）,タグ（小）,ステータス,URL,最終更新日,作成者
SFF協賛説明会 議事録 issin株式会社様,,,未着手,リンク,,
SFF協賛説明会 議事録 ステディジャパン株式会社様,,,未着手,リンク,,
SFF協賛説明会 議事録 株式会社VEATM様,,,未着手,リンク,,
SFF協賛説明会 議事録 株式会社スリーピース様,,,未着手,リンク,,
SFF協賛説明会 議事録 株式会社極洋様,,,未着手,リンク,,
【SFF2026】協賛リターン_オリエンシート_〇〇企業様.xlsx,,,未着手,リンク,,
04_協賛,,,未着手,リンク,,
2026_協賛一覧,,,未着手,リンク,,
2026_協賛募集詳細資料,,,未着手,リンク,,
2026_協賛資料構成案,,,未着手,リンク,,
SFF協賛説明会 議事録 合同会社PowerLife様,,,未着手,リンク,,
【SFF2026】協賛リターン_オリエンシート_原本,,,未着手,リンク,,
【SFF2026】協賛リターン_オリエンシート_合同会社PowerLife様.xlsx,,,未着手,リンク,,
【SFF2026】協賛リターン_過程イベント企画書_〇〇様.xlsx,,,未着手,リンク,,
【SFF2026】協賛リターン_過程イベント企画書_合同会社PowerLife様.xlsx,,,未着手,リンク,,
【合同会社PowerLife様】協賛契約書.docx,,,未着手,リンク,,
【株式会社〇〇様】協賛契約書.docx,,,未着手,リンク,,
ご協賛シミュレーション,,,未着手,リンク,,
協賛説明議事録,,,未着手,リンク,,
07_Shaper関連,,,未着手,リンク,,
251130 Shaper会,,,未着手,リンク,,
Shaperの会オープンチャット文,,,未着手,リンク,,
Shaper企画書,,,未着手,リンク,,
Shaper感謝会スケジュール,,,未着手,リンク,,
🎤 Shaper会司会トークスクリプト,,,未着手,リンク,,
08_SNS,,,未着手,リンク,,
Instagram共同投稿のやり方.pdf,,,未着手,リンク,,
00_基本資料,,,未着手,リンク,,
00_提出用スプシ原本,,,未着手,リンク,,
01_TOP,,,未着手,リンク,,
01_ブース,,,未着手,リンク,,
02_DIAMOND,,,未着手,リンク,,
03_PLUTINUM,,,未着手,リンク,,
03_物語りノート,,,未着手,リンク,,
04_別枠地域枠,,,未着手,リンク,,
2026年 SFF説明会お申し込みフォーム,,,未着手,リンク,,
251130 Shapeアップデート会議イベント報告スプレッドシート,,,未着手,リンク,,
FAQまとめ,,,未着手,リンク,,
R7.4.1藤井寺市立市民総合会館技術員料金改定案内.pdf,,,未着手,リンク,,
Shapeアップデート会議,,,未着手,リンク,,
Shapeアップデート会議 出欠フォーム,,,未着手,リンク,,
Shapeアップデート会議 出欠フォーム（回答）,,,未着手,リンク,,
〇〇企業様提出用フォルダ,,,未着手,リンク,,
〇〇株式会社,,,未着手,リンク,,
【SFF】イベント募集系テンプレート,,,未着手,リンク,,
【アジェンダ】Belisse様×Shape Fit,,,未着手,リンク,,
【アジェンダ】イエローテール様×Shape Fit,,,未着手,リンク,,
【公開期限自動化テスト】Shapeアップデート会議 出欠フォーム,,,未着手,リンク,,
【公開期限自動化テスト】Shapeアップデート会議 出欠フォーム（回答）,,,未着手,リンク,,
ご案内文章,,,未着手,リンク,,
