レベル1,レベル2,タスク名,タスクの説明（簡易版）,担当者,開始日,終了日,ステータス
1. ゴールと前提,1-1. ゴール,ゴールを1行でそろえる,「焦らず、自分の物語に戻れるノート」を全員で同じ言葉にする（メモを残す）,鈴木,2025/12/19,2025/12/19,Done
1. ゴールと前提,1-2. 仕様,仕様を確定する（A4/リング等）,A4基本・リング金・表紙/中身の紙/加工/フルカラーを確定し、見積条件を揃える,神保,2025/12/19,2025/12/20,Done
1. ゴールと前提,1-2. 仕様,B5変更の可否だけ確認,B5にできるかだけ業者に確認（結論をメモ）,神保,2025/12/19,2025/12/22,Done
1. ゴールと前提,1-3. 重要日程,“絶対守る日”を共有する,「サンプル先行」「1/25量産Go」「2月工場停止」「3/20日本着」「3/31必着」を周知,鈴木,2025/12/19,2025/12/19,Done
2. デザイナー決め,2-1. 候補集め,デザイナー候補を出す（3〜5名）,候補リスト化（過去実績・対応可否・費用感）,しおんさん,2025/12/19,2025/12/20,Todo
2. デザイナー決め,2-1. 候補集め,候補へ一斉連絡する,スケジュール（12/25〜1/24、1/15初稿）を渡して空きを確認,しおんさん,2025/12/20,2025/12/21,Todo
2. デザイナー決め,2-2. 選定,見積と条件を回収する,価格・修正回数・データ形式（AI/アウトライン）・納期対応を揃える,鈴木,2025/12/21,2025/12/22,Todo
2. デザイナー決め,2-2. 選定,デザイナーを決める,1名決定（バックアップ1名も決める）,しおんさん,2025/12/22,2025/12/23,Todo
2. デザイナー決め,2-3. 依頼,依頼内容を固めて正式依頼,40P/全ページ別デザイン/500部/3/31必着/サンプル先行を明記,神保,2025/12/23,2025/12/23,Todo
2. デザイナー決め,2-3. 依頼,キックオフ（30分）をやる,目的・構成・仕様・“絶対守る日”・素材置き場を共有,神保,2025/12/23,2025/12/23,Todo
3. 構成と原稿,3-1. 構成,ページ割を確定する（〜12/24）,全体構成・ページ割・各ページの役割を確定,神保,2025/12/19,2025/12/24,Todo
3. 構成と原稿,3-1. 構成,“空白OK”の言葉を入れる,書けない日があっていい（空白の許可）を冒頭に入れる,神保,2025/12/20,2025/12/24,Todo
3. 構成と原稿,3-2. 原稿,テキスト原稿をFIXする（〜12/24）,各ページの文言・質問文を確定,神保,2025/12/19,2025/12/24,Todo
3. 構成と原稿,3-3. 素材,写真・QR・ロゴなど素材を集める,使う素材を集めて1か所にまとめる（差し替えが出ない状態に）,神保,2025/12/19,2025/12/24,Todo
4. デザイン制作,4-1. 表紙,表紙デザインを作る,表紙（タイトル・加工想定）を作る（表紙は早めに固める）,デザイナー,2025/12/25,2026/01/10,Todo
4. デザイン制作,4-2. 中身,中身デザインを作る（40P）,中身全ページを作る（書きやすさ優先）,デザイナー,2025/12/25,2026/01/24,Todo
4. デザイン制作,4-3. 初稿,初稿を出す（目安1/15）,初稿提出→確認に回す,デザイナー,2026/01/15,2026/01/15,Todo
4. デザイン制作,4-4. 修正,修正を反映する（1/16〜1/24）,誤字脱字・微調整の修正対応,デザイナー,2026/01/16,2026/01/24,Todo
5. サンプル先行（最優先）,5-1. サンプル作成,サンプル用データを作る（表紙＋1〜2P）,まずサンプルだけ最速で作って入稿（Illustrator・アウトライン必須）,デザイナー,2025/12/19,2025/12/22,Todo
5. サンプル先行（最優先）,5-2. サンプル入稿,サンプルを入稿する（写真/動画確認前提）,郵送待ちせず、写真/動画で確認できる形にする,デザイナー,2025/12/22,2025/12/23,Todo
5. サンプル先行（最優先）,5-3. サンプル確認,簡易サンプル確認をする（1月中旬）,サンプルを見てOK/NG判断（遅れると1/25に間に合わない）,鈴木/神保,2026/01/10,2026/01/15,Todo
6. 本番データ（全ページ）,6-1. データ作成,本番用全データを作る（40P）,全ページデータを完成させる（前倒し推奨：1/20目安）,デザイナー/神保,2026/01/01,2026/01/20,Todo
6. 本番データ（全ページ）,6-2. 期限管理,1/20アラートを出す,1/25厳守のため、1/20時点で未完なら即エスカレーション,鈴木,2026/01/20,2026/01/20,Todo
6. 本番データ（全ページ）,6-3. 最終チェック,誤字・表記・抜けを最終チェック,2人でチェック（誤字・ページ抜け・QR動作など）,鈴木/神保,2026/01/18,2026/01/22,Todo
7. 量産（Go）,7-1. 入稿,全ページデータを入稿する（1/25厳守）,ここを1日でも超えると3月末納品が厳しくなる,鈴木,2026/01/25,2026/01/25,Todo
7. 量産（Go）,7-2. Go判断,量産開始のGoを出す,「サンプル確認OK」＋「全ページ入稿完了」を満たす,鈴木/神保,2026/01/25,2026/01/25,Todo
8. 印刷・製本（工場）,8-1. 工場期間,印刷・製本の進行を把握する,1/26〜2/28の進行を把握（春節影響の説明も残す）,業者,2026/01/26,2026/02/28,Todo
8. 印刷・製本（工場）,8-2. ブラックボックス,2/1〜2/28は“止まる前提”で管理,この期間は連絡も製造も止まる前提で、前後のタスクを固める,鈴木,2026/02/01,2026/02/28,Todo
9. 輸送・検品・納品,9-1. 輸送〜通関,輸送・通関・国内検品の進行を追う,3/1〜3/20で輸送〜通関〜国内検品,業者,2026/03/01,2026/03/20,Todo
9. 輸送・検品・納品,9-2. 到着,日本国内到着を確認する（3/20頃）,到着日を確定して共有（遅延リスク注意）,神保,2026/03/20,2026/03/20,Todo
9. 輸送・検品・納品,9-3. 最終納品,3/31必着で納品する,指定先へ一括納品（3/31必着）,業者,2026/03/25,2026/03/31,Todo
10. 配布（必要なら）,10-1. 宛先,配布先リストを確定する,住所回収・不備フォロー（※大会運用に合わせて）,未設定,未定,未定,Todo
10. 配布（必要なら）,10-2. 発送,選手へ発送する,発送・追跡番号管理・未着対応（※大会運用に合わせて）,未設定,未定,未定,Todo
