"単位：千円
※7か月分                                                                                                                                             ※5か月分",,,,,,,,,,,,,,,
,,,,2025年度累計(9月時点),,,,,,,,決算整理,,,着地見込
No,勘定科目,,,予算累計(9月時点),実績累計(9月時点),予算差異,前年実績累計(9月時点),前年実績差異,残期間前年実績,,残期間予算,予算,実績,前年実績,着地見込(累計実績+残期間予算)
1,,SFF売上高,,"32,347","32,347",-,-,"+32,347",-,,"9,557",-,-,-,"41,904"
2,,YouTube売上高,,"20,430","20,329",▲101,-,"+20,329",-,,"9,200",-,-,-,"29,529"
3,,フィットネス売上高,,"14,136","13,842",▲294,-,"+13,842",-,,"9,200",-,-,-,"23,042"
4,,FC収入,,"4,178","4,178",+0,-,"+4,178",-,,"2,050",-,-,-,"6,228"
5,,アパレル売上高,,"2,017","2,034",+17,-,"+2,034",-,,38,-,-,-,"2,071"
6,,売上高,,-,-,-,"92,536",-,"31,401",,-,-,-,-,-
7,売上高合計,,,"73,108","72,729",▲378,"92,536","▲19,807","31,401",,"30,045",-,-,-,"102,774"
8,,SFF業務委託,,"5,908","5,908",-,-,"+5,908",-,,"1,650",-,-,-,"7,558"
13,,備品・消耗品    (製),,"1,616","1,616",-,-,"+1,616",-,,375,-,-,-,"1,991"
13,,地代家賃(製),,"2,967","2,967",-,-,"+2,967",-,,274,-,-,-,"3,241"
14,,YouTube経,,354,354,-,690,▲335,340,,42,-,-,-,396
14,,フィットネス業務委託,,"6,951","6,951",-,-,"+6,951",-,,"4,600",-,-,-,"11,551"
13,,アパレル仕入高,,791,791,-,-,+791,-,,-,-,-,-,791
14,,決済手数料,,"2,004","2,004",-,-,"+2,004",-,,728,-,-,-,"2,733"
15,売上原価,,,"20,593","20,593",-,690,"+19,903",340,,"7,668",-,-,-,"28,261"
16,売上原価率(%),,,28.2%,28.3%,+0.1%,0.7%,+27.6%,1.1%,,25.5%,-,-,-,27.5%
17,売上総損益金額,,,"52,515","52,136",▲378,"91,846","▲39,710","31,061",,"22,377",-,-,-,"74,513"
18,,従業員給料他,,"17,972","17,972",-,"17,527",+445,"16,968",,"11,680",-,-,-,"29,652"
19,,法定福利,,"2,158","2,158",-,"1,276",+882,"1,767",,"1,463",-,-,-,"3,621"
20,,福利厚生,,308,308,-,151,+156,428,,296,-,-,-,604
21,,雑給,,-,-,-,201,-,209,,-,-,-,-,-
22,,研修採用,,-,-,-,193,-,-,,-,-,-,-,-
23,,役員賞与,,-,-,-,-,-,-,,-,-,-,-,-
24,人件   計,,,"20,437","20,437",-,"19,348","+1,089","19,372",,"13,439",-,-,-,"33,876"
25,人件    率(%),,,28.0%,28.1%,+0.1%,20.9%,+7.2%,61.7%,,44.7%,-,-,-,33.0%
26,,地代家賃,,"4,485","4,485",-,"4,078",+407,"2,563",,"3,157",-,-,-,"7,642"
27,,リース料,,404,404,-,404,-,289,,289,-,-,-,692
28,,水道光熱,,226,226,-,214,+11,172,,156,-,-,-,382
29,,賃借料,,-,-,-,-,-,-,,-,-,-,-,-
30,設備維持    計,,,"5,115","5,115",-,"4,696",+419,"3,024",,"3,601",-,-,-,"8,716"
31,,業務委託料,,"21,216","21,216",-,"49,161","▲27,945","27,392",,"13,884",-,-,-,"35,100"
32,,旅    交通,,"1,945","1,945",-,"2,604",▲659,"1,375",,549,-,-,-,"2,494"
33,,広告宣伝,,313,313,-,"2,210","▲1,897",464,,-,-,-,-,313
34,,通信,,578,578,-,473,+105,304,,27,-,-,-,604
35,,接待交際,,97,97,-,"1,565","▲1,468","1,380",,-,-,-,-,97
