"サービス別売上高
①",,,予算,実績,予算差異,前年実績,前年差異,予算,,実績,-,,-,着地見込
,,マンスリートレーニング,-,"10,335千円","+10,335千円","17,345千円","▲7,011千円",-,,-,-,,-,-
,,セッション数,,"1,084回",,"1,846回",,,,-,,,,-
,,単価,,"@9,534円",,"@9,396円",,,,#DIV/0!,,,,#DIV/0!
,,SFF関連トレーニング,-,"1,083千円","+1,083千円","1,710千円",▲627千円,-,,-,-,,-,-
,,セッション数,,121回,,190回,,,,-,,,,-
,,単価,,"@8,950円",,"@9,000円",,,,#DIV/0!,,,,#DIV/0!
,,スポットコース,-,159千円,+159千円,"1,619千円","▲1,460千円",-,,-,-,,-,-
,,セッション数,,20回,,168回,,,,-,,,,-
,,単価,,"@7,950円",,"@9,637円",,,,#DIV/0!,,,,#DIV/0!
,,オンライントレーニング,-,198千円,+198千円,240千円,▲42千円,-,,-,-,,-,-
,,セッション数,,43回,,28回,,,,-,,,,-
,,単価,,"@4,614円",,"@8,571円",,,,#DIV/0!,,,,#DIV/0!
,,単発トレーニング,-,79千円,+79千円,892千円,▲813千円,-,,-,-,,-,-
,,セッション数,,5回,,66回,,,,-,,,,-
,,単価,,"@15,800円",,"@13,508円",,,,#DIV/0!,,,,#DIV/0!
,,売上高計,-,"11,854千円","+11,854千円","21,806千円","▲9,952千円",-,,-,-,,-,-
,,セッション数計,-,"1,273回",,"2,298回",,-,,-,-,,-,-
,,セッション単価,-,"@9,312円",,"@9,489円",,-,,#DIV/0!,-,,-,#DIV/0!
"個人別売上高
②",,,予算,実績,予算差異,前年実績,前年差異,予算,,実績,-,,-,着地見込
,,石田哲大,-,"4,325千円","+4,325千円",617千円,"+3,708千円",-,,-,-,,-,-
,,セッション数,,477回,,64回,,,,-,,,,-
,,単価,,"@9,066円",,"@9,636円",,,,#DIV/0!,,,,#DIV/0!
,,小野弘喜,-,"4,980千円","+4,980千円",-,"+4,980千円",-,,-,-,,-,-
,,セッション数,,598回,,-,,,,-,,,,-
,,単価,,"@8,328円",,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!
,,伊藤幸希,-,"4,145千円","+4,145千円","4,113千円",+33千円,-,,-,-,,-,-
,,セッション数,,424回,,505回,,,,-,,,,-
,,単価,,"@9,777円",,"@8,144円",,,,#DIV/0!,,,,#DIV/0!
,,売上高計,-,"11,854千円","11,854千円","21,806千円","▲ 9,952千円",-,,-,-,,-,-
,,トレーナー数,,18名,,24名,,,,-,,,,-
,,1人あたり売上高,,659千円,,909千円,,,,#DIV/0!,,,,#DIV/0!
,,,2025年度累計(9月時点),,,,,,,,決算整理,,,着地見込
No,勘定科目,,予算累計(9月時点),実績累計(9月時点),予算差異,前年実績累計(9月時点),前年実績差異,残期間前年実績,,残期間予算,予算,実績,前年実績,着地見込(累計実績+残期間予算)
1,,フィットネス売上高,"14,136","13,842",▲294,"25,836","▲11,994","8,834",,"9,200",-,-,-,"23,042"
2,売上高,,"14,136","13,842",▲294,"25,836","▲11,994","8,834",,"9,200",-,-,-,"23,042"
3,,フィットネス業務委託,"7,092","6,951",▲140,"14,355","▲7,404","5,836",,"4,600",-,-,-,"11,551"
4,,決済手数料,179,206,+28,"1,202",▲996,397,,-,-,-,-,206
5,売上原価,,"7,270","7,158",▲113,"15,557","▲8,399","6,233",,"4,600",-,-,-,"11,758"
6,売上原価率(%),,51.4%,51.7%,+0.3%,60.2%,▲8.5%,70.6%,,50.0%,-,-,-,51.0%
7,売上総損益金額,,"6,866","6,684",▲182,"10,279","▲3,595","2,601",,"4,600",-,-,-,"11,284"
8,,地代家賃,"1,456","1,456",-,"1,590",▲134,"1,015",,"1,040",-,-,-,"2,496"
10,,水道光熱,223,226,+3,214,+11,172,,158,-,-,-,384
12,設備維持    計,,"1,679","1,682",+3,"1,805",▲123,"1,187",,"1,198",-,-,-,"2,880"
13,,業務委託料,"1,317","1,374",+56,981,+392,"3,479",,840,-,-,-,"2,214"
15,,広告宣伝,360,270,▲90,360,▲90,450,,180,-,-,-,450
17,,備品・消耗品,40,39,▲1,47,▲8,71,,33,-,-,-,72
19,,接待交際,21,21,-,28,▲7,27,,21,-,-,-,42
21,,支払手数料,6,5,▲1,-,+5,-,,3,-,-,-,8
23,,旅    交通,-,-,-,2,-,-,,-,-,-,-,-
25,,通信,-,-,-,212,-,71,,-,-,-,-,-
27,,雑,-,-,-,-,-,4,,-,-,-,-,-
29,営業    計,,"1,745","1,708",▲37,"1,629",+79,"4,101",,"1,077",-,-,-,"2,785"
30,販管費合計,,"3,424","3,390",▲34,"3,434",▲44,"5,288",,"2,274",-,-,-,"5,664"
31,(償却前)営業利益,,"3,442","3,294",▲148,"6,845","▲3,551","▲ 2,687",,"2,326",-,-,-,"5,620"
32,,減価償却,227,227,-,797,▲570,251,,162,32,-,-,422
33,,長期前払    用償却,-,-,-,-,-,-,,-,-,-,-,-
34,償却    計,,227,227,-,797,▲570,251,,162,32,-,-,422
35,(償却後)営業利益,,"3,214","3,067",▲148,"6,048","▲2,981","▲ 2,938",,"2,163",▲ 32,-,-,"5,197"
36,営業歴率(%),,22.7%,22.2%,▲0.6%,23.4%,▲1.3%,▲ 33.3%,,23.5%,-,-,-,22.6%
37,,本社負担人件,"3,191","3,191",-,-,"+3,191",-,,"2,280",-,-,-,"5,471"
38,,本社負担他経,482,482,-,-,+482,-,,344,-,-,-,826
39,本社負担金,,"3,673","3,673",-,-,"+3,673",-,,"2,624",-,-,-,"6,297"
40,差し引き利益,,▲ 459,▲ 606,▲148,"6,048","▲6,654","▲ 2,938",,▲ 460,▲ 32,-,-,"▲ 1,099"
41,営業歴率(%),,▲ 6.7%,▲ 9.1%,▲2.4%,58.8%,▲67.9%,-,,-,-,-,-,-
特記事項,,,,,,,,,,,,,,
