"売上明細
①",,,ー,,,,,,,,,,,
,,,,,,,,前年差異,,,,,,
,,出場,,,,,,,,,,,,
,,"人数
単価",,,,,,,,,,,,
,,来場,,,,,,,,,,,,
,,"人数
単価",,,,,,,,,,,,
"売上明細
②",,,ー,,,,,,,,,,,
,,,,,,,,前年差異,,,,,,
,,出場,,,,,,,,,,,,
,,"人数
単価",,,,,,,,,,,,
,,来場,,,,,,,,,,,,
,,"人数
単価",,,,,,,,,,,,
,,,2025年度累計(９月時点),,,,,,,,決算整理,,,着地見込
No,勘定科目,,予算累計(９月時点),実績累計(９月時点),予算差異,前年実績累計(９月時点),前年実績差異,残期間前年実績,,残期間予算,予算,実績,前年実績,着地見込(累計実績+残期間予算)
1,,選手出場料,"7,035","7,035",-,-,"+7,035",-,,"1,688",-,-,-,"8,723"
2,,観客料,"21,963","21,963",-,-,"+21,963",-,,"4,527",-,-,-,"26,490"
3,,協賛金,"2,477","2,477",-,-,"+2,477",-,,"3,245",-,-,-,"5,723"
4,,カラーリング,355,355,-,-,+355,-,,97,-,-,-,452
5,,公式動画販売,506,506,-,-,+506,-,,-,-,-,-,506
6,,物販収入,11,11,-,-,+11,-,,-,-,-,-,11
7,,補助科目なし,-,-,-,-,-,-,,-,-,-,-,-
8,売上高,,"32,347","32,347",-,-,"+32,347",-,,"9,557",-,-,-,"41,904"
9,,備品・消耗品    (製),"1,616","1,616",-,-,"+1,616",-,,300,-,-,-,"1,916"
10,,地代家賃(製),"2,967","2,967",-,-,"+2,967",-,,274,-,-,-,"3,241"
11,,SFF業務委託,"5,785","5,785",-,-,"+5,785",-,,"1,600",-,-,-,"7,385"
12,,決済手数料,"1,265","1,725",+459,-,"+1,725",-,,-,-,-,-,"1,725"
13,当期製品製造原価,,"11,634","12,093",+459,-,"+12,093",-,,"2,174",-,-,-,"14,267"
14,売上原価率(%),,36.0%,37.4%,+1.4%,-,+37.4%,-,,22.7%,-,-,-,34.0%
15,売上総損益金額,,"20,713","20,254",▲459,-,"+20,254",-,,"7,384",-,-,-,"27,637"
16,,地代家賃,65,67,+3,"1,590","▲1,523","1,015",,-,-,-,-,67
18,,賃借料,-,-,-,-,-,-,,-,-,-,-,-
20,,水道光熱,-,-,-,214,-,172,,-,-,-,-,-
22,,リース料,-,-,-,-,-,-,,-,-,-,-,-
24,設備維持    計,,65,67,+3,"1,805","▲1,737","1,187",,-,-,-,-,67
25,,業務委託料,261,261,-,981,▲721,"3,479",,-,-,-,-,261
27,,荷造運賃,106,153,+47,-,+153,-,,-,-,-,-,153
27,,旅    交通,53,53,-,2,+51,-,,-,-,-,-,53
31,,接待交際,24,24,-,28,▲4,27,,-,-,-,-,24
33,,会議,4,4,-,-,+4,-,,-,-,-,-,4
33,,通信,120,136,+16,212,▲76,71,,-,-,-,-,136
37,,租税公課,83,83,-,-,+83,-,,-,-,-,-,83
39,,支払手数料,8,8,-,"1,202","▲1,194",397,,-,-,-,-,8
41,営業    計,,657,720,+63,"2,425","▲1,704","3,974",,-,-,-,-,720
42,販管費合計,,722,788,+65,"4,229","▲3,441","5,161",,-,-,-,-,788
43,(償却前)営業利益,,"19,991","19,466",▲525,"▲ 4,229","+23,695","▲ 5,161",,"7,384",-,-,-,"26,850"
44,,減価償却,-,-,-,797,-,251,,-,-,-,-,-
45,,長期前払    用償却,-,-,-,-,-,-,,-,-,-,-,-
46,償却    計,,-,-,-,797,-,251,,-,-,-,-,-
47,(償却後)営業利益,,"19,991","19,466",▲525,"▲ 5,026","+24,492","▲ 5,412",,"7,384",-,-,-,"26,850"
48,営業歴率(%),,61.8%,60.2%,▲1.6%,-,+60.2%,-,,-,-,-,-,-
49,,本社負担人件,"9,683","9,683",-,-,"+9,683","38,732",,"6,916",-,-,-,"16,599"
50,,本社負担他経,963,963,-,-,+963,"3,852",,688,-,-,-,"1,651"
51,本社負担金,,"10,646","10,646",-,-,"+10,646","42,584",,"7,604",-,-,-,"18,250"
52,差し引き利益,,"9,345","8,820",▲525,"▲ 5,026","+13,846","▲ 47,996",,▲ 221,-,-,-,"8,599"
53,営業歴率(%),,28.9%,27.3%,▲1.6%,-,+27.3%,-,,▲ 2.3%,-,-,-,20.5%
特記事項,,,,,,,,,,,,,,
