,,,,,Summary,,
,,,,,課題件数：,28件,
,,,,,完了：,0件,
,,,,,対応中：,0件,
,,,,,未着手：,28件,
,,,,,N/A：,0件,
"課題
管理
№",発生局面,分類,起票者,起票日,タイトル,"内容
　(1)問題点と背景
　(2)想定される影響
　(3)原因",影響度,対応責任者,解決期限,完了条件,ステータス,対応計画,対応状況,完了日,備　　　　　考
001,経理・総務,業務委譲,鈴木,2025/11/27,経理作業が「紫音さんしかできない」状態になっている,"(1)問題点と背景
本来トップが行うべきでない「入金チェック」や「請求書保存」などの作業を、紫音さん自身がやっている。

(2)想定される影響
重要な戦略を考える時間が減り、事業の成長が遅れてしまう。

(3)原因
神保さんたちのスキル不足ではなく、「やり方を説明するのが面倒」という理由で、マニュアル作りが後回しになっているから。",高,鈴木,,事務作業を100%神保さんたちに任せる,未着手,"①今の経理作業の流れを聞き取り、図にする（鈴木）
②作業担当者（神保さん）向けの手順書を作る
③実際に権限を渡してやってみる（テスト運用）",,,"Q7, Q8回答より"
002,企画・運営,品質管理,鈴木,2025/11/27,イベント企画などの仕事をスタッフに任せきれない,"(1)問題点と背景
企画書作りなどの仕事を「クオリティが心配」でスタッフに任せられず、紫音さんが抱え込んでいる。

(2)想定される影響
紫音さんが忙殺されて企画のスピードが上がらず、次のリーダーも育たない。

(3)原因
「どんな品質ならOKか」という基準が文章になっておらず、紫音さんの感覚頼みになっている。",中,鈴木,,企画作成のガイドラインを作る,未着手,"①紫音さんが気にする「チェックポイント」を言葉にする
②企画書の「ひな形（テンプレート）」を作る
③フィードバックのやり方を決める",,,"Q8回答より"
003,経営管理,意思決定,鈴木,2025/11/27,判断するための「数字の基準」が足りず、決断に迷う,"(1)問題点と背景
イベントを開催するかどうかの判断で、利益などの数字だけでは「現場のトラブル」が怖くて即決できない。

(2)想定される影響
決断が遅れたり、漠然とした不安によるストレスが続く。

(3)原因
「お金」以外の「トラブル発生率」や「スタッフの納得感」などが、目に見える形で整理されていないため。",高,鈴木,,判断用のダッシュボード（一覧表）を作る,未着手,"①「トラブル」になりそうな要素を洗い出す
②お金とリスクの両方がわかる「判断シート」を作る
③開催OK/NGのチェックリストを作る",,,"Q4, Q5回答より"
004,組織運営,コミュニケーション,鈴木,2025/11/27,CEOの想いを現場に伝える「説明」が負担になっている,"(1)問題点と背景
新しい方針を選手やスタッフに説明する際、「誤解されないか」「熱量が伝わるか」と過度なプレッシャーを感じている。

(2)想定される影響
紫音さんが説明疲れしてしまい、組織全体への浸透が遅れる。

(3)原因
変更内容を整理して伝えるための「説明マニュアル」や「手順」がなく、個人の頑張りに依存している。",中,鈴木,,伝え方のルールと手順を作る,未着手,"①変更時の「説明キット（Q&Aや説明文）」を作る流れを導入
②CEOと紫音さんの間で、伝える前にすり合わせる会議を設定",,,"Q6回答より"
005,マーケティング,品質管理,鈴木,2025/11/27,「Shapeらしさ」のルールがなく、外注すると修正が大変,"(1)問題点と背景
「世界観」や「雰囲気」が言葉になっておらず、外注しても期待通りのものが上がってこない（50%の出来）。結局CEOが直すことになる。

(2)想定される影響
外注しても修正の手間がかかり、神成さんやCEOが楽にならない。

(3)原因
神成さんの中にある「感覚的な正解」が、ルールやマニュアルとして書き出されていないため。",高,鈴木,,ブランドガイドライン（世界観のルールブック）を作る,未着手,"①「ここがダメ」というNG例を洗い出す
②感覚的な指示を具体的な言葉にした「指示書」を作る
③「これが正解」という見本を集める",,,"Q5回答より"
006,組織運営,リソース管理,鈴木,2025/11/27,「忙しいかも」と気を使ってしまい、仕事を振れない,"(1)問題点と背景
他のメンバーに仕事を頼む時、「申し訳ない」という感情が先に立ち、頼むのをためらってしまう。

(2)想定される影響
神成さんが仕事を抱え込み、チーム全体で助け合う体制が作れない。

(3)原因
誰がどれくらい忙しいかが可視化されておらず、仕組みではなく「気遣い」で仕事を振っているため。",中,鈴木,,客観的な仕事の振り方ルールを作る,未着手,"①全員の忙しさ（空き状況）が見えるボードを作る
②「感情」を挟まずに仕事を頼めるチケット制などを導入
③鈴木が代わりに仕事を整理・割り振りする",,,"Q13回答より"
007,プロジェクト管理,業務効率,鈴木,2025/11/27,進捗確認（リマインド）だけで時間が奪われている,"(1)問題点と背景
膨大なタスクの管理において、神成さんが「終わりましたか？」と確認するためだけに会議や連絡をしている。

(2)想定される影響
本来もっと重要な設計業務をすべき人が、単なる「目覚まし時計」のような役割になってしまっている。

(3)原因
タスク管理ツールとチャットが連携しておらず、自動で通知が来たり、自律的に報告するルールがないため。",高,鈴木,,自動通知の仕組みと会議の見直し,未着手,"①期限が近づいたら自動で通知が飛ぶ設定をする
②定例会議を「全部報告する場」から「遅れているものだけ話す場」に変える
③タスクの全体像を整理し直す",,,"Q11回答より"
008,システム基盤,デジタル化,鈴木,2025/11/27,便利なツールを使いたいが、選び方や使い方がわからない,"(1)問題点と背景
SlackやNotionなどを導入したいが、知識不足と「本当に効果があるか」の不安から、古いやり方（手動議事録など）を続けている。

(2)想定される影響
人が増えるにつれて、連絡や情報共有の手間が爆発的に増えてしまう。

(3)原因
社内にITツールを選んだり設計したりできる詳しい人（専門家）がいないため。",中,鈴木,,情報共有の仕組みを新しくする,未着手,"①今使っているツールと情報の流れを整理する
②新しいツールへの移行計画を立てる
③AI議事録などを試しに使ってみる（鈴木が代行）",,,"Q10回答より"
009,組織・体制,業務委譲,鈴木,2025/11/27,リモートスタッフへの指示出しが止まっている,"(1)問題点と背景
神保さんも忙しいが、リモートスタッフ（町田さん）に仕事を頼むための「準備（説明や資料整理）」ができず、自分で抱え込んでいる。

(2)想定される影響
神保さんがパンクし、リーダーたち（紫音さん・香音さん）のサポートができなくなる。町田さんの力も活かせない。

(3)原因
「この情報があれば作業できる」というセットが決まっていないことと、神保さんが「人に頼むのが苦手」な性格であるため。",高,鈴木,,仕事を頼むための「説明書き」と基準を作る,未着手,"①神保さんが持っている仕事を洗い出す
②「これさえあれば作業できる」という情報のセットを決める
③町田さんに試しに仕事を渡してみる",,,"Q4回答より"
010,業務プロセス,コミュニケーション,鈴木,2025/11/27,仕事を受ける時の「確認ルール」がなく、手戻りが多い,"(1)問題点と背景
依頼された時に、ゴールややり方を確認せず「はい、わかりました」と即答してしまい、後から「情報が足りない」と作業が止まってしまう。

(2)想定される影響
仕事が遅れたり、出来上がったものが「思っていたのと違う」となってやり直しが発生する。

(3)原因
反射的に引き受けてしまう「イエスマン」な癖と、依頼を受ける時に必ず確認すべき「チェックリスト」がないため。",高,鈴木,,仕事を受ける時の「確認ルール」を決める,未着手,"①仕事を頼む時の「依頼チケット（フォーマット）」を作る
②依頼時に「目的」と「背景」を必ず書いてもらうルールにする
③作業を始める前に「これで合ってますか？」と1分確認する習慣をつける",,,"Q6, Q9回答より"
